,Squad,Comp,Player,Nation,Age,PlayerPos,TklW_Tackles,Int,Clr,Sh_Blocks,Pass_Blocks,Tkl+Int,SCA90_SCA,GCA90_GCA,Recov,Won_Aerial_Duels,Won_percent_Aerial_Duels,Cmp_Total,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,Ast,xAG,xA_Expected,PPA,CrsPA,PrgP,KP,Final_Third,Min_Playing_Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take_Ons,Succ_Take_Ons,Succ_percent_Take_Ons,Tkld_Take_Ons,Tkld_percent_Take_Ons,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Gls,G+A,G_minus_PK,xAG_Expected,npxG+xAG_Expected,Gls_Per_Minutes,Ast_Per_Minutes,G+A_Per_Minutes
164,Bournemouth,Premier League,Illia Zabarnyi,UKR,21,Centre-Back,26,27,101,25,14,71,0.78,0,109,62,57.9,1100,81.7,293,84.9,658,93.1,139,52.3,0,0.3,0.5,8,0,86,6,101,2430,27,90,27,0,,1617,234,829,738,56,15,1617,11,8,72.7,2,18.2,966,5270,3195,20,11,0,10,1,1027,1,0,7,1,14.3,0.26,0.04,0,0,8,0,0,0,0.7,0.7,0.1,-0.7,-0.7,0,0,0,0.3,1,0,0,0
337,Brentford,Premier League,Nathan Collins,IRL,22,Centre-Back,11,34,108,15,12,57,0.78,0.1,104,53,67.1,937,82,339,88.5,499,87.7,81,54.4,1,1.5,0.7,3,0,70,7,55,1842,20,89,19,3,18,1378,232,778,503,101,34,1378,13,9,69.2,2,15.4,720,3336,1830,6,11,0,15,6,835,12,1,9,2,22.2,0.44,0.1,0.11,0.5,8.1,0,0,0,1.6,1.6,0.18,-0.6,-0.6,1,2,1,1.5,3.1,0.05,0.05,0.1
517,Chelsea,Premier League,Levi Colwill,ENG,21,Centre-Back,30,26,66,10,18,74,1.35,0.15,96,43,68.3,965,83,444,89.7,456,89.8,51,43.6,1,1.2,0.5,6,0,73,7,82,1797,20,84,15,3,37,1392,108,570,669,164,26,1392,13,9,69.2,4,30.8,766,3602,1985,23,17,2,22,4,873,27,1,11,3,27.3,0.55,0.15,0.09,0.33,11.9,0,0,0,1.3,1.3,0.12,-0.3,-0.3,1,2,1,1.2,2.5,0.05,0.05,0.1
651,Arsenal,Premier League,William Saliba,FRA,22,Centre-Back,17,21,57,11,12,49,0.82,0.11,154,56,58.3,2064,92.3,910,94.4,1046,94.7,83,68.6,1,0.2,0.8,5,1,117,5,138,2520,28,90,28,0,,2409,167,942,1365,108,12,2409,5,2,40,3,60,1592,7079,4256,14,18,1,17,11,1812,5,2,8,2,25,0.29,0.07,0.25,1,11,0,0,0,1.5,1.5,0.19,0.5,0.5,2,3,2,0.2,1.7,0.07,0.04,0.11
1807,Toulouse,Ligue 1,Logan Costa,CPV,22,Centre-Back,20,15,93,21,12,46,0.64,0.1,109,48,66.7,1033,84.1,349,91.4,553,89.2,110,57.6,1,0.6,0.6,2,1,94,3,84,1840,20,89,19,2,32,1435,212,664,693,84,21,1435,5,3,60,2,40,990,5283,2731,13,16,2,8,1,933,7,1,11,5,45.5,0.54,0.24,0.09,0.2,13.8,0,0,0,0.7,0.7,0.07,0.3,0.3,1,2,1,0.6,1.3,0.05,0.05,0.1
1965,Lille,Ligue 1,Leny Yoro,FRA,18,Centre-Back,20,31,70,8,5,58,0.57,0.09,99,34,65.4,1374,92.3,518,95.9,725,95.4,96,65.8,0,0.1,0.2,0,0,52,2,39,2038,23,88,22,1,10,1669,179,813,840,25,13,1669,10,8,80,1,10,1287,6261,3206,6,5,0,11,1,1220,2,2,11,7,63.6,0.49,0.31,0.18,0.29,9.7,0,0,0,1.1,1.1,0.1,0.9,0.9,2,2,2,0.1,1.3,0.09,0,0.09
2036,Lorient,Ligue 1,Souleymane Toure,FRA,20,Centre-Back,11,31,86,19,13,54,0.72,0.06,74,33,75,915,88.6,417,92.1,405,91.4,60,68.2,1,0.3,0.6,3,1,54,4,49,1620,18,88,17,1,45,1250,191,577,576,101,30,1250,9,8,88.9,1,11.1,876,4775,2678,19,14,3,13,6,827,18,1,17,8,47.1,0.94,0.44,0.06,0.13,11.4,0,0,0,1.7,1.7,0.1,-0.7,-0.7,1,2,1,0.3,1.9,0.06,0.06,0.11
2247,Eintracht Frankfurt,Bundesliga,Willian Pacho,ECU,22,DF,30,32,121,15,25,82,0.67,0.12,173,40,49.4,1409,83.9,475,89.1,814,91.4,105,50.7,1,0.8,0.8,6,1,93,2,90,2160,24,90,24,0,,1971,238,1035,905,43,14,1971,8,7,87.5,1,12.5,1207,5656,2856,15,9,0,17,6,1279,4,0,9,2,22.2,0.37,0.08,0,0,14.8,0,0,0,1.2,1.2,0.13,-1.2,-1.2,0,1,0,0.8,2,0,0.04,0.04
2618,Mainz 05,Bundesliga,Sepp van den Berg,NED,22,Centre-Back,22,30,109,20,26,65,0.8,0,136,115,68.9,919,81.6,327,86.7,500,85.9,78,60,0,0.3,0.3,4,0,77,5,76,2029,22,90,21,2,27,1408,160,699,656,60,24,1408,3,2,66.7,1,33.3,566,2478,1095,7,4,0,6,3,726,6,2,16,5,31.3,0.71,0.22,0.13,0.4,8.7,0,0,0,1.7,1.7,0.1,0.3,0.3,2,2,2,0.3,1.9,0.09,0,0.09
2922,Atalanta,Serie A,Giorgio Scalvini,ITA,20,Centre-Back,30,48,57,15,26,95,1.44,0.35,146,70,69.3,1019,80.6,504,88.4,442,85.5,56,43.4,3,1,1.2,12,2,91,9,74,2060,25,82,15,1,13,1504,106,695,671,152,34,1504,15,12,80,3,20,765,3536,1930,22,16,4,15,8,919,21,0,15,5,33.3,0.66,0.22,0,0,13.8,0,0,0,1.2,1.2,0.08,-1.2,-1.2,0,3,0,1,2.2,0,0.13,0.13
